word,term_id
situat,0
heart,1
genoa,2
histor,3
centr,4
contemporari,5
style,6
restaur,7
focus,8
dish,9
almost,10
fish,11
base,12
present,13
modern,14
gener,15
portion,16
season,17
ingredi,18
market,19
fresh,20
produc,21
guid,22
philosophi,23
alain,24
ducass,25
one,26
great,27
name,28
fine,29
dine,30
arriv,31
napl,32
open,33
former,34
premis,35
prestigi,36
ristorant,37
il,38
comandant,39
9th,40
floor,41
romeo,42
hotel,43
overlook,44
port,45
boast,46
view,47
vesuviu,48
bay,49
especi,50
sunset,51
colour,52
truli,53
spectacular,54
meanwhil,55
room,56
decor,57
complet,58
black,59
equal,60
stun,61
surround,62
alessandro,63
lucassino,64
born,65
1991,66
year,67
experi,68
work,69
mentor,70
add,71
person,72
flavour,73
local,74
recip,75
use,76
short,77
cook,78
time,79
preserv,80
nutriti,81
qualiti,82
veget,83
remain,84
faith,85
cuisin,86
de,87
la,88
naturalité,89
come,90
long,91
way,92
sinc,93
1906,94
owner,95
ancestor,96
inn,97
wine,98
tavern,99
evolv,100
invit,101
eleg,102
tradit,103
seafood,104
reinterpret,105
personalis,106
twist,107
impress,108
list,109
featur,110
label,111
liguria,112
beyond,113
want,114
eat,115
pleasant,116
outdoor,117
terrac,118
pedestrianis,119
street,120
best,121
book,122
ahead,123
known,124
address,125
region,126
enthusiast,127
serv,128
freshli,129
caught,130
prepar,131
simpl,132
allow,133
shine,134
good,135
particularli,136
champagn,137
panoram,138
appeal,139
although,140
wood,141
adorn,142
rustic,143
romant,144
ambienc,145
old,146
alpin,147
hut,148
tubladel,149
ladin,150
hay,151
barn,152
actual,153
stone,154
throw,155
ortisei,156
meat,157
game,158
venison,159
pappardel,160
roast,161
pork,162
shank,163
menu,164
option,165
select,166
glass,167
villa,168
fiordaliso,169
beauti,170
earli,171
20c,172
line,173
lake,174
front,175
verdant,176
ground,177
extend,178
pontoon,179
creativ,180
chef,181
eas,182
extens,183
suggest,184
problem,185
find,186
favourit,187
ask,188
tabl,189
main,190
classic,191
atmospher,192
furnish,193
tast,194
mainli,195
tuscan,196
young,197
graziano,198
accolla,199
return,200
nativ,201
citi,202
highest,203
rais,204
augusta,205
gastronom,206
profil,207
thank,208
michelin,209
star,210
offer,211
highli,212
interest,213
focu,214
top,215
